Simulation ID,P-Value,KS-Statistic,,P-Values,,
292,1.86914E-45,0.322,1,,,
293,1.2588E-53,0.35,1,,,
294,1.06038E-35,0.285,1,,,
295,3.70739E-55,0.355,1,,,
296,1.18708E-57,0.363,1,,,
297,3.55543E-45,0.321,1,,,
298,3.78349E-47,0.328,1,,,
299,9.82535E-39,0.297,1,,,
300,3.67562E-42,0.31,1,,,
301,1.77781E-38,0.296,1,,,
302,8.59251E-44,0.316,1,,,
303,8.59251E-44,0.316,1,,,
304,3.88067E-63,0.38,1,,,
305,1.96138E-47,0.329,1,,,
306,7.95767E-41,0.305,1,,,
307,2.03719E-52,0.346,1,,,
308,2.03719E-52,0.346,1,,,
309,7.12648E-49,0.334,1,,,
310,5.73784E-58,0.364,1,,,
311,1.06738E-36,0.289,1,,,
312,1.39943E-46,0.326,1,,,
313,8.9255E-56,0.357,1,,,
314,1.27876E-44,0.319,1,,,
315,1.39943E-46,0.326,1,,,
316,1.01475E-47,0.33,1,,,
317,7.28376E-47,0.327,1,,,
318,4.06564E-52,0.345,1,,,
319,1.01475E-47,0.33,1,,,
320,4.56259E-44,0.317,1,,,
321,1.01475E-47,0.33,1,,,
322,2.69995E-48,0.332,1,,,
323,9.80666E-46,0.323,1,,,
324,5.13491E-46,0.324,1,,,
325,1.05942E-42,0.312,1,,,
326,6.74955E-45,0.32,1,,,
327,3.12689E-34,0.279,1,,,
328,5.81026E-35,0.282,1,,,
329,5.78565E-38,0.294,1,,,
330,3.02922E-43,0.314,1,,,
331,1.27876E-44,0.319,1,,,
332,1.05942E-42,0.312,1,,,
333,1.01475E-47,0.33,1,,,
334,9.50711E-34,0.277,1,,,
335,1.01875E-52,0.347,1,,,
336,2.41788E-44,0.318,1,,,
337,6.32169E-51,0.341,1,,,
338,2.41788E-44,0.318,1,,,
339,1.86914E-45,0.322,1,,,
340,4.91627E-40,0.302,1,,,
341,5.99071E-36,0.286,1,,,
342,6.74955E-45,0.32,1,,,
343,1.24907E-50,0.34,1,,,
344,2.41788E-44,0.318,1,,,
345,6.40237E-59,0.367,1,,,
346,1.01475E-47,0.33,1,,,
347,2.68465E-40,0.303,1,,,
348,2.03719E-52,0.346,1,,,
349,1.27876E-44,0.319,1,,,
350,5.4193E-39,0.298,1,,,
351,1.0406E-37,0.293,1,,,
352,1.77781E-38,0.296,1,,,
353,9.52007E-50,0.337,1,,,
354,9.82535E-39,0.297,1,,,
355,2.46305E-50,0.339,1,,,
356,4.56259E-44,0.317,1,,,
357,6.74955E-45,0.32,1,,,
358,4.36628E-56,0.358,1,,,
359,4.31948E-41,0.306,1,,,
360,2.69995E-48,0.332,1,,,
361,8.59251E-44,0.316,1,,,
362,1.96138E-47,0.329,1,,,
363,1.96138E-47,0.329,1,,,
364,1.9753E-42,0.311,1,,,
365,4.91627E-40,0.302,1,,,
366,1.05942E-42,0.312,1,,,
367,2.98311E-39,0.299,1,,,
368,7.12648E-49,0.334,1,,,
369,6.40237E-59,0.367,1,,,
370,5.67066E-43,0.313,1,,,
371,2.41788E-44,0.318,1,,,
372,4.31948E-41,0.306,1,,,
373,4.91627E-40,0.302,1,,,
374,2.41788E-44,0.318,1,,,
375,9.52007E-50,0.337,1,,,
376,6.82588E-42,0.309,1,,,
377,1.86786E-37,0.292,1,,,
378,1.9753E-42,0.311,1,,,
379,2.46305E-50,0.339,1,,,
380,3.02922E-43,0.314,1,,,
381,1.96138E-47,0.329,1,,,
382,4.31948E-41,0.306,1,,,
383,1.39943E-46,0.326,1,,,
384,5.0843E-53,0.348,1,,,
385,1.6388E-39,0.3,1,,,
386,1.46309E-40,0.304,1,,,
